Title,Link,ID
ASIGNAR NUMEROS DE OXIDACIÓN | Redox,https://www.youtube.com/watch?v=gjIPau_FwCc,gjIPau_FwCc
"ENERGIA LIBRE DE GIBBS, ESPONTANEIDAD | Termodinámica",https://www.youtube.com/watch?v=g0fvXJutbGY,g0fvXJutbGY
PRINCIPIO DE LE CHÂTELIER | Equilibrio,https://www.youtube.com/watch?v=QUxolGq6g3w,QUxolGq6g3w
ECUACIÓN DE LOS GASES IDEALES | Teoría de Gases,https://www.youtube.com/watch?v=4J6sD236ZWU,4J6sD236ZWU
PORCENTAJE VOLUMEN-VOLUMEN | Química básica,https://www.youtube.com/watch?v=9hQho5LFaEA,9hQho5LFaEA
IONES: CATIONES Y ANIONES ¿QUÉ SON?| Química Básica,https://www.youtube.com/watch?v=rV-cZfYRQrY,rV-cZfYRQrY
TEORÍA CINÉTICO-MOLECULAR DE LOS GASES | Química-Física,https://www.youtube.com/watch?v=UuCyk-uLrCA,UuCyk-uLrCA
PRIMER PRINCIPIO DE LA TERMODINÁMICA | Termodinámica,https://www.youtube.com/watch?v=FqlyyI9gIV8,FqlyyI9gIV8
HIBRIDACIÓN SP | Química Básica,https://www.youtube.com/watch?v=M7AF8I3-LdM,M7AF8I3-LdM
TIPOS DE RADIACIONES NUCLEARES | Química básica,https://www.youtube.com/watch?v=teOuU9YDIOA,teOuU9YDIOA
SIGNIFICADO DE LA ECUACIÓN QUÍMICA,https://www.youtube.com/watch?v=k1vfwYwxtW4,k1vfwYwxtW4
10 SORPRENDENTES EXPERIMENTOS DE QUIMICA | RECOPILACION,https://www.youtube.com/watch?v=0zl0QPkaJrA,0zl0QPkaJrA
PILA VS ELECTROLISIS | CÁTODO Y ÁNODO | Redox,https://www.youtube.com/watch?v=aTq3g5HXWF8,aTq3g5HXWF8
"EL ENLACE METÁLICO, TEORÍA DE BANDAS | Química Básica",https://www.youtube.com/watch?v=BcdyqMYled0,BcdyqMYled0
COMO SABER EL PRODUCTO DE UNA REACCIÓN,https://www.youtube.com/watch?v=C1eEI8V2qFc,C1eEI8V2qFc
PROPIEDADES COLIGATIVAS | Química Básica,https://www.youtube.com/watch?v=BSQWn26GWuc,BSQWn26GWuc
VELOCIDAD DE REACCION | Cinética química,https://www.youtube.com/watch?v=3zjYTInQjDQ,3zjYTInQjDQ
PROYECCIÓN DE FISCHER | Química Orgánica,https://www.youtube.com/watch?v=Y0cYOXsZEVU,Y0cYOXsZEVU
QUE ES EL pH,https://www.youtube.com/watch?v=pdt4C2Lp3cE,pdt4C2Lp3cE
¿QUÉ ES UNA OXIDACIÓN? | Procesos Redox,https://www.youtube.com/watch?v=P3bZWcrW1bo,P3bZWcrW1bo
QUÉ ES LA HIBRIDACIÓN,https://www.youtube.com/watch?v=6da2hyd4vu0,6da2hyd4vu0
SOLUBILIDAD Y Kps | Ejercicios resueltos,https://www.youtube.com/watch?v=UfaWCckmY78,UfaWCckmY78
CURVAS DE VALORACIÓN ÁCIDO-BASE | Química Básica,https://www.youtube.com/watch?v=hGUuG11WW20,hGUuG11WW20
PROYECCIÓN DE NEWMAN | Química Orgánica,https://www.youtube.com/watch?v=eCNPXK8FR-M,eCNPXK8FR-M
QUE SON LAS VALENCIAS,https://www.youtube.com/watch?v=L-KNNDehky0,L-KNNDehky0
ALCANOS | Qué son y propiedades | Tema 1,https://www.youtube.com/watch?v=VPXZye0PZks,VPXZye0PZks
OBTENIENDO EXTRACTO DE CLOROFILA,https://www.youtube.com/watch?v=k5zUqxRYxDY,k5zUqxRYxDY
ACIDEZ Y BASICIDAD ORGÁNICA | Química Orgánica,https://www.youtube.com/watch?v=0zhGQ7XbzOE,0zhGQ7XbzOE
TEORIA DE ORBITALES MOLECULARES | Orbitales p,https://www.youtube.com/watch?v=biNArB9dBU0,biNArB9dBU0
DISOLUCIONES REGULADORAS O AMORTIGUADORAS | Ácido-Base,https://www.youtube.com/watch?v=LV0DLV_mA2c,LV0DLV_mA2c
HIDROGENACION DE ALQUENOS | Química Orgánica,https://www.youtube.com/watch?v=7oG3zB-Ep4w,7oG3zB-Ep4w
EXOTÉRMICO Y ENDOTÉRMICO | Termodinámica,https://www.youtube.com/watch?v=fStkH0bgIWQ,fStkH0bgIWQ
¿QUÉ ES UN MOL? | Química Básica,https://www.youtube.com/watch?v=Mc3-NpQWWZA,Mc3-NpQWWZA
REACTIVO LIMITANTE | Química Básica,https://www.youtube.com/watch?v=MQ8bipwt0MQ,MQ8bipwt0MQ
QUIRALIDAD | Química Orgánica,https://www.youtube.com/watch?v=xsMmtAaszW8,xsMmtAaszW8
NÚMEROS CUÁNTICOS Y ORBITALES | Química Básica,https://www.youtube.com/watch?v=qXBqAYKQU6Y,qXBqAYKQU6Y
ENANTIÓMERO | DIASTEREOISÓMERO,https://www.youtube.com/watch?v=0SOo6uiIY1U,0SOo6uiIY1U
"TRABAJO, PRESIÓN Y VOLUMEN | Termodinámica",https://www.youtube.com/watch?v=RpkvIjEt0Js,RpkvIjEt0Js
